Type,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 76,D/t,Compression,Flexure,unit_price
HSS,HSS177.8X4.8,20.4,2410,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,9.03,133.0,102.0,61.2,9.03,133.0,102.0,61.2,–,–,–,18100,–,203.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,40.2,NS,C,2950
HSS,HSS177.8X3.2,13.7,1620,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,–,–,6.2,90.1,69.6,61.7,6.2,90.1,69.6,61.7,–,–,–,12400,–,139.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,60.3,NS,NC,2950
HSS,HSS174.6X12.7,50.7,6040,–,–,–,–,175.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,20.1,313.0,231.0,57.7,20.1,313.0,231.0,57.7,–,–,–,40200,–,460.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,14.8,NS,C,2950
HSS,HSS174.6X9.5,38.8,4620,–,–,–,–,175.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,15.9,244.0,182.0,58.7,15.9,244.0,182.0,58.7,–,–,–,31800,–,364.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,19.7,NS,C,2950
HSS,HSS174.6X7.9,32.6,3880,–,–,–,–,175.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,13.6,206.0,156.0,59.2,13.6,206.0,156.0,59.2,–,–,–,27200,–,311.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,23.6,NS,C,2950
HSS,HSS174.6X6.4,26.3,3140,–,–,–,–,175.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,11.2,169.0,128.0,59.7,11.2,169.0,128.0,59.7,–,–,–,22400,–,256.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,29.5,NS,C,2950
HSS,HSS174.6X4.8,20.0,2360,–,–,–,–,175.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,8.57,128.0,98.2,60.2,8.57,128.0,98.2,60.2,–,–,–,17100,–,197.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,39.5,NS,C,2950
HSS,HSS168.3X12.7,48.7,5810,–,–,–,–,168.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,17.9,290.0,213.0,55.4,17.9,290.0,213.0,55.4,–,–,–,35800,–,424.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,14.2,NS,C,2950
HSS,HSS168.3X11,42.6,5070,–,–,–,–,168.0,–,–,–,–,–,–,–,–,–,–,–,11.1,10.2,–,–,–,–,–,–,–,–,–,–,–,–,–,15.9,256.0,188.0,55.9,15.9,256.0,188.0,55.9,–,–,–,31800,–,379.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,16.5,NS,C,2950
HSS,HSS168.3X9.5,37.3,4440,–,–,–,–,168.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,226.0,169.0,56.4,14.2,226.0,169.0,56.4,–,–,–,28300,–,336.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,19.0,NS,C,2950
HSS,HSS168.3X7.9,31.3,3740,–,–,–,–,168.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,12.1,192.0,144.0,56.9,12.1,192.0,144.0,56.9,–,–,–,24200,–,288.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,22.8,NS,C,2950
