Type,AISC_Manual_Label [Imperial],AISC_Manual_Label [metric],W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,h/tw.1,D/t.1,Ix / 107,Zx / 104,Sx / 104,rx.1,Iy / 107,Zy / 104,Sy / 104,b/tdes,h/tdes.1,Compression,Flange Flexure,Web Flexure,unit_price
HSS,HSS8X8X5/16,HSS203.2X203.2X7.9,47.3,5650,–,–,203.0,181.0,–,–,–,203.0,181.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,24.5,–,35.6,411.0,351.0,79.5,35.6,411.0,351.0,79.5,–,–,–,56600,–,565.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,227.0,228.6642857,230.37142859999997,232.1,233.78571430000002,235.4928571,237.2,24.5,25.5,NS,C,C,2950
HSS,HSS8X8X1/4,HSS203.2X203.2X6.4,38.4,4580,–,–,203.0,185.0,–,–,–,203.0,185.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,31.3,–,29.4,336.0,290.0,80.0,29.4,336.0,290.0,80.0,–,–,–,46200,–,460.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,195.2,197.7047619,200.2238095,202.7,205.26190480000002,207.7809524,210.3,31.3,32.3,NS,NC,C,2950
HSS,HSS8X8X3/16,HSS203.2X203.2X4.8,29.2,3460,–,–,203.0,190.0,–,–,–,203.0,190.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,43.0,–,22.6,257.0,223.0,80.8,22.6,257.0,223.0,80.8,–,–,–,35200,–,349.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,160.9,164.26190480000002,167.6095238,171.0,174.3047619,177.65238100000002,181.0,43.0,44.0,S,S,C,2950
HSS,HSS8X8X1/8,HSS203.2X203.2X3.2,19.7,2340,–,–,203.0,194.0,–,–,–,203.0,194.0,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,65.9,–,15.6,175.0,153.0,81.5,15.6,175.0,153.0,81.5,–,–,–,23900,–,236.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,125.1,129.28333329999998,133.46666670000002,137.7,141.83333330000002,146.0166667,150.2,65.9,66.9,S,S,NC,2950
HSS,HSS7X7X5/8,HSS177.8X177.8X15.9,75.3,9030,–,–,178.0,134.0,–,–,–,178.0,134.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,9.05,–,38.9,542.0,438.0,65.5,38.9,542.0,438.0,65.5,–,–,–,65800,–,772.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,268.5,267.9309524,267.35476189999997,266.8,266.202381,265.6261905,265.05,9.05,10.05,NS,C,C,2950
HSS,HSS7X7X1/2,HSS177.8X177.8X12.7,62.4,7480,–,–,178.0,142.0,–,–,–,178.0,142.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,12.0,–,33.5,457.0,377.0,66.8,33.5,457.0,377.0,66.8,–,–,–,55400,–,644.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,235.7,236.18095240000002,236.65476189999998,237.1,237.602381,238.07619049999997,238.55,12.0,13.0,NS,C,C,2950
HSS,HSS7X7X3/8,HSS177.8X177.8X9.5,48.4,5790,–,–,178.0,151.0,–,–,–,178.0,151.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,17.0,–,27.1,362.0,305.0,68.3,27.1,362.0,305.0,68.3,–,–,–,43700,–,503.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,197.7,199.3214286,200.9071429,202.5,204.07857140000002,205.6642857,207.25,17.0,18.0,NS,C,C,2950
HSS,HSS7X7X5/16,HSS177.8X177.8X7.9,41.0,4900,–,–,178.0,156.0,–,–,–,178.0,156.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,21.1,–,23.4,310.0,262.0,69.1,23.4,310.0,262.0,69.1,–,–,–,37300,–,428.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,175.7,177.7928571,179.9142857,182.0,184.1571429,186.2785714,188.4,21.1,22.1,NS,C,C,2950
HSS,HSS7X7X1/4,HSS177.8X177.8X6.4,33.3,3980,–,–,178.0,160.0,–,–,–,178.0,160.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,27.0,–,19.4,254.0,218.0,69.9,19.4,254.0,218.0,69.9,–,–,–,30600,–,349.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,152.7,155.45,158.2,161.0,163.7,166.45,169.2,27.0,28.0,NS,NC,C,2950
HSS,HSS7X7X3/16,HSS177.8X177.8X4.8,25.4,3010,–,–,178.0,165.0,–,–,–,178.0,165.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,37.2,–,15.0,195.0,169.0,70.4,15.0,195.0,169.0,70.4,–,–,–,23400,–,265.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,127.4,130.7095238,134.047619,137.4,140.7,144.0619048,147.4,37.2,38.2,S,S,C,2950
HSS,HSS7X7X1/8,HSS177.8X177.8X3.2,17.2,2040,–,–,178.0,169.0,–,–,–,178.0,169.0,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,57.3,–,10.3,133.0,116.0,71.1,10.3,133.0,116.0,71.1,–,–,–,15900,–,180.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,100.3,104.2595238,108.19761899999999,112.1,116.0738095,120.0119048,123.95,57.3,58.3,S,S,NC,2950
HSS,HSS6X6X5/8,HSS152.4X152.4X15.9,62.6,7550,–,–,152.0,108.0,–,–,–,152.0,108.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,7.33,–,23.0,380.0,302.0,55.1,23.0,380.0,302.0,55.1,–,–,–,39500,–,547.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,192.0,192.42142859999998,192.8571429,193.3,193.7,194.1642857,194.6,7.33,8.33,NS,C,C,2950
HSS,HSS6X6X1/2,HSS152.4X152.4X12.7,52.2,6280,–,–,152.0,117.0,–,–,–,152.0,117.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,9.91,–,20.1,324.0,264.0,56.6,20.1,324.0,264.0,56.6,–,–,–,33800,–,460.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,171.5,172.6571429,173.8357143,175.0,176.1928571,177.37142859999997,178.55,9.91,10.91,NS,C,C,2950
HSS,HSS6X6X3/8,HSS152.4X152.4X9.5,40.8,4890,–,–,152.0,126.0,–,–,–,152.0,126.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,14.2,–,16.4,259.0,216.0,57.9,16.4,259.0,216.0,57.9,–,–,–,26900,–,362.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,146.1,147.997619,149.9380952,151.9,153.8190476,155.7595238,157.7,14.2,15.2,NS,C,C,2950
HSS,HSS6X6X5/16,HSS152.4X152.4X7.9,34.6,4150,–,–,152.0,130.0,–,–,–,152.0,130.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,17.6,–,14.3,223.0,187.0,58.7,14.3,223.0,187.0,58.7,–,–,–,23100,–,310.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,131.2,133.47857140000002,135.7928571,138.1,140.42142859999998,142.7357143,145.05,17.6,18.6,NS,C,C,2950
HSS,HSS6X6X1/4,HSS152.4X152.4X6.4,28.3,3380,–,–,152.0,135.0,–,–,–,152.0,135.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,22.7,–,11.9,184.0,156.0,59.4,11.9,184.0,156.0,59.4,–,–,–,19000,–,252.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115.1,117.8190476,120.5452381,123.3,125.997619,128.7238095,131.45,22.7,23.7,NS,C,C,2950
HSS,HSS6X6X3/16,HSS152.4X152.4X4.8,21.6,2570,–,–,152.0,139.0,–,–,–,152.0,139.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,31.5,–,9.28,141.0,122.0,60.2,9.28,141.0,122.0,60.2,–,–,–,14600,–,193.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,97.45,100.6361905,103.82095240000001,107.0,110.1904762,113.3752381,116.56,31.5,32.5,NS,NC,C,2950
HSS,HSS6X6X1/8,HSS152.4X152.4X3.2,14.7,1740,–,–,152.0,144.0,–,–,–,152.0,144.0,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,48.7,–,6.45,97.0,84.4,60.7,6.45,97.0,84.4,60.7,–,–,–,9950,–,132.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78.23,81.8,85.4,89.0,92.525,96.1,99.675,48.7,49.7,S,S,C,2950
