Type,AISC_Manual_Label,A
W,W920X656,83900
W,W920X588,74800
W,W920X537,68400
W,W920X491,62500
W,W920X449,57400
W,W920X420,53500
W,W920X390,49800
W,W920X368,46800
W,W920X344,44000
W,W920X381,48600
W,W920X345,43900
W,W920X313,39900
W,W920X289,36800
W,W920X271,34600
W,W920X253,32300
W,W920X238,30300
W,W920X223,28600
W,W920X201,25700
W,W840X576,73500
W,W840X527,67100
W,W840X473,60500
W,W840X433,55200
W,W840X392,49900
W,W840X359,45900
W,W840X329,42100
W,W840X299,38100
W,W840X251,31900
W,W840X226,29000
W,W840X210,26800
W,W840X193,24700
W,W840X176,22400
W,W760X582,74200
W,W760X531,67700
W,W760X484,61900
W,W760X434,55500
W,W760X389,49700
W,W760X350,44700
W,W760X314,40200
W,W760X284,36200
W,W760X257,32800
W,W760X220,28100
W,W760X196,25000
W,W760X185,23500
W,W760X173,22100
W,W760X161,20500
W,W760X147,18700
W,W760X134,17000
W,W690X802,103000
W,W690X548,70300
W,W690X500,64000
W,W690X457,58200
W,W690X419,53600
W,W690X384,49100
W,W690X350,44800
W,W690X323,41200
W,W690X289,36800
W,W690X265,33900
W,W690X240,30700
W,W690X217,27900
W,W690X192,24400
W,W690X170,21700
W,W690X152,19400
W,W690X140,17800
W,W690X125,15900
W,W610X551,70300
W,W610X498,63400
W,W610X455,57900
W,W610X415,52800
W,W610X372,47400
W,W610X341,43400
W,W610X307,39200
W,W610X285,36500
W,W610X262,33400
W,W610X241,30800
W,W610X217,27700
W,W610X195,24900
W,W610X174,22200
W,W610X155,19800
W,W610X153,19500
W,W610X140,17900
W,W610X125,15900
W,W610X113,14500
W,W610X101,13000
W,W610X92,11700
W,W610X82,10500
W,W530X300,38300
W,W530X272,34600
W,W530X248,31500
W,W530X219,27900
W,W530X196,25000
W,W530X182,23200
W,W530X165,21000
W,W530X150,19200
W,W530X138,17600
W,W530X123,15700
W,W530X109,13900
W,W530X101,12900
W,W530X92,11800
W,W530X82,10500
W,W530X72,9100
W,W530X85,10800
W,W530X74,9480
W,W530X66,8390
W,W460X464,59100
W,W460X421,53700
W,W460X384,49000
W,W460X349,44300
W,W460X315,40200
W,W460X286,36300
W,W460X260,33200
W,W460X235,29900
W,W460X213,27100
W,W460X193,24700
W,W460X177,22600
W,W460X158,20100
W,W460X144,18400
W,W460X128,16300
W,W460X113,14400
W,W460X106,13500
W,W460X97,12300
W,W460X89,11400
W,W460X82,10500
W,W460X74,9480
W,W460X68,8710
W,W460X60,7610
W,W460X52,6650
W,W410X149,19000
W,W410X132,16900
W,W410X114,14600
W,W410X100,12600
W,W410X85,10800
W,W410X75,9480
W,W410X67,8580
W,W410X60,7610
W,W410X53,6840
W,W410X46.1,5890
W,W410X38.8,4950
W,W360X1086,139000
W,W360X990,126000
W,W360X900,115000
W,W360X818,105000
W,W360X744,94800
W,W360X677,86500
W,W360X634,80600
W,W360X592,75500
W,W360X551,70300
W,W360X509,65200
W,W360X463,59000
W,W360X421,53700
W,W360X382,48800
W,W360X347,44200
W,W360X314,40000
W,W360X287,36600
W,W360X262,33400
W,W360X237,30100
W,W360X216,27500
W,W360X196,25000
W,W360X179,22800
W,W360X162,20600
W,W360X147,18800
W,W360X134,17100
W,W360X122,15500
W,W360X110,14100
W,W360X101,12900
W,W360X91,11500
W,W360X79,10100
W,W360X72,9100
W,W360X64,8130
W,W360X57.8,7230
W,W360X51,6450
W,W360X44,5710
W,W360X39,4960
W,W360X32.9,4190
W,W310X500,63800
W,W310X454,57700
W,W310X415,52800
W,W310X375,47800
W,W310X342,43700
W,W310X313,39900
W,W310X283,36100
W,W310X253,32300
W,W310X226,28800
W,W310X202,25700
W,W310X179,22700
W,W310X158,20100
W,W310X143,18200
W,W310X129,16500
W,W310X117,15000
W,W310X107,13600
W,W310X97,12300
W,W310X86,11000
W,W310X79,10100
W,W310X74,9420
W,W310X67,8450
W,W310X60,7550
W,W310X52,6650
W,W310X44.5,5670
W,W310X38.7,4940
W,W310X32.7,4180
W,W310X28.3,3590
W,W310X23.8,3040
W,W310X21,2680
W,W250X167,21200
W,W250X149,18900
W,W250X131,16800
W,W250X115,14600
W,W250X101,12800
W,W250X89,11400
W,W250X80,10200
W,W250X73,9290
W,W250X67,8580
W,W250X58,7420
W,W250X49.1,6260
W,W250X44.8,5700
W,W250X38.5,4910
W,W250X32.7,4190
W,W250X28.4,3630
W,W250X25.3,3220
W,W250X22.3,2850
W,W250X17.9,2280
W,W200X100,12700
W,W200X86,11000
W,W200X71,9100
W,W200X59,7550
W,W200X52,6650
W,W200X46.1,5890
W,W200X41.7,5320
W,W200X35.9,4570
W,W200X31.3,3970
W,W200X26.6,3390
W,W200X22.5,2860
W,W200X19.3,2480
W,W200X15,1910
W,W150X37.1,4740
W,W150X29.8,3790
W,W150X22.5,2860
W,W150X24,3060
W,W150X18,2290
W,W150X13.5,1730
W,W150X13,1630
W,W130X28.1,3590
W,W130X23.8,3040
W,W100X19.3,2470
